iter	Passed	Remaining
0	15036	436059
1	44390	621460
2	90907	818165
3	128224	833456
4	185605	928029
5	297712	1190851
6	335645	1102836
7	365954	1006374
8	399058	931136
9	427401	854803
10	460736	795818
11	496905	745358
12	535708	700542
13	665745	760852
14	833110	833110
15	862838	754983
16	894527	684050
17	926207	617471
18	959556	555532
19	989649	494824
20	1022823	438353
21	1051000	382181
22	1083554	329777
23	1112997	278249
24	1142762	228552
25	1486456	228685
26	1518672	168741
27	1561363	111525
28	1598580	55123
29	1623082	0
